product,substance,tlv_status,tlv_decision_date,subvention_type,indication_text,tlv_assessment,regional_agreement,tlv_url
Tukysa,tucatinib,INCLUDED_REASONABLE,2022-04-28,Generell subvention (högkostnadsskydd),"HER2-positiv lokalt avancerad eller metastaserad bröstcancer, efter ≥2 tidigare anti-HER2-behandlingar",Reasonable cost vs benefit. Long-term effect uncertainty noted.,"Ja — sidoavtal mellan TLV, regioner och företag minskar behandlingskostnaden",https://www.tlv.se/beslut/beslut-lakemedel/generell-subvention/arkiv/2022-04-28-tukysa-ingar-i-hogkostnadsskyddet.html
Lorbrena (Lorviqua),lorlatinib,INCLUDED_GENERELL_2022,2022-03-28 (utvidgning från 2019-09-30 begränsad),Generell subvention (utvidgad från begränsad),ALK-positiv avancerad NSCLC; numera även för patienter som inte tidigare behandlats med ALK-hämmare,Rimlig kostnad. Kostnad per QALY 730k-980k SEK (2020 bedömning).,Inte specificerat,https://www.tlv.se/beslut/beslut-lakemedel/generell-subvention/arkiv/2022-03-28-lorviqua-ingar-i-hogkostnadsskyddet-med-generell-subvention.html
Ibrance,palbociclib,INCLUDED_REASONABLE,"(äldre beslut, ej fångat exakt datum)",Högkostnadsskydd,"HR+/HER2- avancerad bröstcancer, kombination med aromatashämmare eller fulvestrant",Rimlig kostnad i båda kombinationerna,"OBS: Region Stockholm rekommenderar konkurrent Kisqali (ribociclib, Novartis) över palbociclib av kostnadsskäl trots TLV-godkännande",https://www.tlv.se/lakemedel/kliniklakemedelsuppdraget/avslutade-halsoekonomiska-bedomningar.html
Talzenna,talazoparib,ASSESSED,2024 (nationellt avtal samma år),Nationellt avtal (sidoavtal); NT-rådet ger ej rekommendation,BRCA-muterad HER2- bröstcancer; även mCRPC bedömd som svår sjukdom,"mCRPC bedömd som mycket allvarlig (botemedel saknas, kortare livslängd)",Ja — nationellt avtal 2024-06-01 till 2026-05-31 (förlängningsalternativ till 2027-05-31),https://www.tlv.se/lakemedel/kliniklakemedelsuppdraget/avslutade-halsoekonomiska-bedomningar.html
Vyndaqel,tafamidis,INCLUDED_LIMITED,2021-09-01,Begränsad subvention,TTR-amyloidos med kardiomyopati (ATTRwt eller ATTRv) UTAN signifikanta amyloidos-symtom från andra organ än hjärtat,"Bäst effekt vid tidiga sjukdomsstadier (NYHA klass I-II). NYHA klass III mer osäker, NYHA IV evidens saknas.",Bestämmelse: endast vid hjärtsvikt-historik,https://www.tlv.se/download/18.4aae5b7817b8881a5ca546c6/1630501167542/bes210901_vyndaqel.pdf
Vydura,rimegepant,INCLUDED_LIMITED,2023-12-15,Begränsad subvention,Akut migrän,Endast för patienter med ≥2 migränattacker per månad och som efter optimerad behandling inte fått effekt av eller inte tolererat ≥2 olika migränläkemedel (triptaner),—,https://www.tlv.se/beslut/beslut-lakemedel/begransad-subvention/arkiv/2023-12-15-vydura-ingar-i-hogkostnadsskyddet-med-begransning.html
Paxlovid,nirmatrelvir + ritonavir,INCLUDED_GENERELL,2022-11-21,Generell subvention,COVID-19 utomhus (poliklinisk behandling) hos högriskpatienter,Hälsoekonomisk bedömning publicerad sept 2022,—,https://www.tlv.se/beslut/beslut-lakemedel/generell-subvention/arkiv/2022-11-21-paxlovid-ingar-i-hogkostnadsskyddet.html
Abrysvo,RSV-vaccin (prefusion-F),ASSESSED_PENDING,2024-06-18 + tilläggsanalyser 2025-09-01,Bedömning klar; finansiering avvaktar (FHM-process),RSV-vaccin för 60+ vuxna (samt graviditet),Bedömning enligt FHM rekommendation 60+; tilläggsanalyser 2025 efter NT-rådets 'avvakta',—,https://www.tlv.se/lakemedelsforetag/halsoekonomiska-bedomningar-och-rapporter-kliniklakemedel/arkiv-avslutade-halsoekonomiska-bedomningar/2025-09-01-tillaggsanalyser-av-abrysvo-for-vaccinering-mot-luftvagsviruset-rsv.html
Elrexfio,elranatamab,REFERENCED_NOT_DIRECT,—,Nationellt avtal via NT-rådet (rekvisition),RRMM (4L+) — multipelt myelom,Inte separat TLV-bedömning hittad; nämnt i kontext för Sarclisa (isatuximab) som behandlingsalternativ för RRMM,Ja — NT-rådets nationella avtal 2024-06-14 (2024-06-01 till 2027-01-31),—
Hympavzi,marstacimab,TOO_NEW,—,—,Profylax vid hemofili A/B utan inhibitorer (12+ år),Inte ännu bedömt av TLV. FDA-godkännande 2024-10-11.,—,—
Prevenar 20,20-valent pneumokockvaccin,OUT_OF_SCOPE_FHM,—,—,Pneumokocksjukdom-prevention vuxna 65+,"Vacciner för vuxenbruk hanteras via FHM-rekommendationer och regionala upphandlingar, inte via TLV-subvention",—,—
