pfizer_product,substance,atc,indication,nt_status,decision_date,agreement_start,agreement_end,pdf_url,product_page_url,notes,gap_analysis_method
Tukysa,tucatinib,L01EH03,"HER2+ metastatic breast cancer w/ brain mets, 3L+, in combo with trastuzumab + capecitabine",NT_RECOMMENDATION,2022-05-23,,,,,Found via web search. Direct samverkanlakemedel.se page not located via WebFetch; Tukysa likely under different URL slug. Manual verification recommended to confirm exact wording.,Compute regional uptake from IQVIA (when oncology extract arrives) or Rx register (oral). Compare against expected eligible (C50 incidence x 20% HER2+ x 30% brain mets).
Lorbrena,lorlatinib,L01ED04,"ALK+ NSCLC, post-1L",UNKNOWN,,,,,,Direct samverkanlakemedel.se page not located. Approved EU 2018; likely has had some NT-rådet review. Needs manual search by Sergio/Máté.,"Even without NT-rådet rec, regional variability via Rx register vs C34 incidence x ~5% ALK+ is informative."
Elrexfio,elranatamab,L01FX25,Multipelt myelom (RRMM 4L+),NATIONAL_AGREEMENT,2024-06-14,2024-06-01,2027-01-31,https://samverkanlakemedel.se/download/18.165c6f351900ff10197e04/1718341468454/Elrexfio%20RRMM%202024-06-14.pdf,https://samverkanlakemedel.se/produktinfo/elrexfio-elranatamab,Handled via requisition (rekvisition); not in Rx register. National agreement extension option through 2028-01-31.,Hospital-administered. Need IQVIA (or Concise) for regional volumes. Compare against C90 incidence x ~50% reaching 4L.
Ibrance,palbociclib,L01EF01,"HR+/HER2- advanced/metastatic breast cancer, in combo with endocrine therapy",UNKNOWN,,,,,,Direct page not located. Approved EU 2016; CDK4/6 inhibitor class likely had NT review. Manual verification needed.,"Oral, in Rx register. Regional variability vs C50 x ~70% HR+/HER2- x ~30% advanced is informative even without NT rec."
Talzenna,talazoparib,L01XK04,BRCA-mutated HER2-negative breast cancer,NATIONAL_AGREEMENT,2024-06-01,2024-06-01,2026-05-31,,https://samverkanlakemedel.se/produktinfo/talzenna-talazoparib,NT-rådet explicitly will NOT issue recommendation. National agreement only. Extension option through 2027-05-31. Verbatim: 'NT-rådet kommer inte att ge en rekommendation till regionerna om läkemedlets användning.',"Oral, in Rx register. Regional variability is the signal — no NT recommendation to compare against."
Vyndaqel,tafamidis,N07XX08,Wildtype or hereditary transthyretin amyloidosis (TTR-amyloidos) in adults with cardiomyopathy (ATTR-CM),ARCHIVED,2025-09-02,,,,https://samverkanlakemedel.se/produktinfo/vyndaqel-tafamidis,NT-rådet ARCHIVED its recommendation 2025-09-02. NAG LOK (Nationell Arbetsgrupp Läkemedel och Onkologisk Klinikläkemedel) now handles. Sveriges läkemedelskommittéer issued recommendation 2025-10-15.,"Oral, in Rx register. Multi-source recommendations (NT-rådet historical + NAG LOK current + LK 2025-10-15) — frame as 'transitioning oversight regime'."
Hympavzi,marstacimab,(no established ATC yet),Severe haemophilia A or B with inhibitors,UNKNOWN,,,,,,Newer product (EU approval ~2024). Not found on samverkanlakemedel.se. May not yet be under NT-rådet review.,Hospital-administered (subcut). Regional volumes via IQVIA only (not in Rx register). Compare against population x rare-disease prevalence.
Paxlovid,nirmatrelvir + ritonavir,J05AE30,"COVID-19 outpatient treatment, high-risk patients",OUT_OF_SCOPE,,,,,,"COVID-19 treatments managed via Folkhälsomyndigheten / national pandemic governance, not standard NT-rådet pathway.","Oral, in Rx register. Regional uptake variability is informative; declining as COVID phase ends."
Vydura,rimegepant,N02CD06,Migraine (acute and prophylactic),REGIONAL_ASSESSMENT,2021-11-18,,,https://samverkanlakemedel.se/download/18.25cdd0fd18e65a1a5d0379bf/1640084404393/Rimegepant-vid-migr%C3%A4n-tidig-bedomningsrapport-211118.pdf,https://samverkanlakemedel.se/produktinfo/vydura-rimegepant,NT-rådet decided rimegepant 'kan bedömas regionalt' — no national recommendation. Regions assess independently.,"Oral, in Rx register. Regional decisions = regional variability is itself the signal."
Prevenar 20,20-valent pneumococcal conjugate vaccine,J07AL02,"Pneumococcal disease prevention, adults 65+",OUT_OF_SCOPE,,,,,,"Vaccines for adult prevention go through FHM / regional vaccination strategies, not standard NT-rådet pathway.",Use IQVIA + FHM IPD epi + age 65+ pop denominator. Regional coverage variability is the signal.
Abrysvo,RSV vaccine,J07BX05,RSV vaccine for elderly (and pregnancy),AWAIT,2023-10-05,,,https://samverkanlakemedel.se/download/18.25cdd0fd18e65a1a5d02c6d1/1696501601122/Avvakta%20Arexvy%20och%20Abrysvo%202023-10-05.pdf,https://samverkanlakemedel.se/produktinfo/abrysvo-rsv-vaccin,NT-rådet recommendation: 'Avvakta' (await funding decision). TLV health-economic valuation received June 2024; supplementary analysis September 2025. Still under review as of Sep 2025.,Use IQVIA. Per-region uptake DESPITE 'avvakta' recommendation = strong signal of regions making independent funding decisions. POLITICALLY INTERESTING for Pfizer.
