region,document,date_or_status,focus_area_num,focus_area_verbatim,pfizer_alignment_note,coverage_quality
Stockholm,Målbild och strategi för hälso- och sjukvården 2040,2025-12-09 antagen,1,Personcentrerad vård med stärkta möjligheter till egenvård,Förebyggande vacciner (Abrysvo/Prevenar) stödjer egenvård och förebyggande hälsa,RICH
Stockholm,Målbild och strategi 2040,2025-12-09,2,Sammanhållen vård efter behov med vårdcentralen som nav,Pfizers oral onkologi reducerar slutenvårdsbelastning,RICH
Stockholm,Målbild och strategi 2040,2025-12-09,3,En attraktiv och hållbar arbetsplats där kompetensen utvecklas,Indirekt relevans (kompetens kring nya behandlingar),RICH
Stockholm,Målbild och strategi 2040,2025-12-09,4,"Forskning, utveckling, utbildning och innovation som stärker vården",Pfizers innovativa läkemedel som case för innovation pipeline,RICH
Stockholm,Målbild och strategi 2040,2025-12-09,5,"Hållbart, anpassningsbart och robust hälso- och sjukvårdssystem",Förebyggande vaccin reducerar systembelastning vid säsongstoppar,RICH
Skåne,Framtidens hälsosystem + Verksamhetsplan 2025,2020 antagen + 2025,1,Tillgänglighet och organisation (Nära vård + nivåstrukturering),Vaccin för 65+ stödjer Nära vård-konceptet,RICH
Skåne,Framtidens hälsosystem + Verksamhetsplan 2025,2020 + 2025,2,Sjukhusens utveckling (alla sjukhus värderas och utvecklas),Onkologi-koncentration relevant för Tukysa/Ibrance där centra hanterar svår behandling,RICH
Skåne,Framtidens hälsosystem + Verksamhetsplan 2025,2020 + 2025,3,Jämlik vård (medicinska prioriteringar styrande),Pfizer kan koppla sjukdomsbörda-data per region till denna prioritet,RICH
Skåne,Framtidens hälsosystem + Verksamhetsplan 2025,2020 + 2025,4,Förebyggande fokus (från sjukdom till hälsa),Pfizers vaccinportfölj direkt aligned med detta fokus,RICH
Västra Götaland,Hälso- och sjukvårdsstrategi 2028-2040 (på remiss),Remiss till 2026-09-30,1,Långsiktig riktning för trygg/tillgänglig/nära vård,Pfizer aligned med 'nära vård' via förebyggande vacciner,RICH
Västra Götaland,Hälso- och sjukvårdsstrategi 2028-2040,Remiss,2,Vårdens utbud och lokalisering tydligare hanterad,Onkologi-centralisering relevant för subtyp-specifika behandlingar (Tukysa/Lorviqua),RICH
Västra Götaland,Hälso- och sjukvårdsstrategi 2028-2040,Remiss,3,Demografiska förändringar (åldrande befolkning),Direkt relevans för 65+ vacciner och ATTR-CM (Vyndaqel),RICH
Uppsala,Effektiv och Nära Vård 2030 + Vårdens utvecklingsplan,2025 antagen,1,Utveckling av nära vård (geografi/tillgänglighet/relationer),Vacciner för 65+ kan erbjudas i nära vård,RICH
Uppsala,Effektiv och Nära Vård 2030,2025,2,Mindre sjukhusintensivt vårdsystem,Förebyggande vacciner reducerar slutenvårdsbelastning (RSV/pneumokock),RICH
Uppsala,Effektiv och Nära Vård 2030,2025,3,God hälsa och jämlik vård i länet,Sjukdomsbörda-data per region kopplar Pfizers behandlingar till jämlikhet,RICH
Norrbotten,Strategisk plan 2026-2028,2025 antagen,1,"Vård tillgänglig, hållbar, kvalitativ, patientsäker, nära invånare","Norrbottens tillgänglighetskris (4,6x vs Stockholm) - Pfizer förebyggande vacciner reducerar belastning",RICH
Norrbotten,Strategisk plan 2026-2028,2025,2,Vårdcentral som nav i system där alla får tillgång till primärvård,"Glesbygd: Pfizer oral onkologi (Ibrance/Talzenna) lättare administrera än infusioner",RICH
Norrbotten,Strategisk plan 2026-2028,2025,3,"Effektiva processer, effektiva patientflöden",NT-rådets vice chair (Anders Bergström) hemma här - strategisk relation,RICH
